OID_,ID,Elevation_m_min,Elevation_m_max,Elevation_m_mean,Slope_deg_min,Slope_deg_max,Slope_deg_mean,Aspect_deg_median,Area_m2
97,291,331,331,331.000000000000000,15.976386070251465,15.976386070251465,15.976386070251465,131.300857543945312,886.426138501
98,292,254,295,271.000000000000000,21.698417663574219,34.831485748291016,27.503252029418945,160.788772583007812,3329.38084794
99,295,318,337,323.666666666666686,2.944958925247192,29.997493743896484,14.516541361808777,217.444656372070312,4060.0896482
100,296,238,337,277.285714285714278,19.066202163696289,47.569328308105469,35.758109864734465,165.595977783203125,14739.6584919
101,297,434,434,434.000000000000000,17.148141860961914,17.148141860961914,17.148141860961914,69.532653808593750,978.192569725
102,300,263,302,286.454545454545496,15.603674888610840,29.757286071777344,23.546237512068316,216.416503906250000,8499.32383689
103,302,321,321,321.000000000000000,8.834783554077148,11.252202987670898,10.043493270874023,98.086544036865234,1361.04180503
104,304,380,406,395.833333333333314,12.932757377624512,21.006998062133789,17.708033402760826,148.140136718750000,3826.04928236
105,305,320,320,320.000000000000000,24.168394088745117,24.168394088745117,24.168394088745117,241.175415039062500,699.43928125
106,306,241,321,273.849999999999966,20.586553573608398,43.168239593505859,29.120533370971682,160.883689880371094,14081.5575101
107,307,265,267,266.000000000000000,24.258008956909180,27.839527130126953,26.048768043518066,165.571838378906250,958.145485992
108,309,311,317,313.666666666666686,7.895106792449951,17.073719024658203,12.335883617401123,251.915679931640625,1285.93470165
109,311,305,310,307.000000000000000,3.812825202941895,13.153120040893555,7.917378425598145,103.766784667968750,3531.48955302
110,314,300,301,300.500000000000000,8.258675575256348,9.752933502197266,9.005804538726807,178.836326599121094,1042.29847844
111,321,228,238,233.000000000000000,9.752269744873047,21.283638000488281,15.517953872680664,213.392089843750000,2621.44984957
112,322,291,301,297.000000000000000,7.004705429077148,9.164040565490723,8.012362003326416,273.950363159179688,2286.38089015
113,323,369,435,400.142857142857167,16.130599975585938,33.595363616943359,28.155362129211429,201.887084960937500,11627.419283
114,324,227,234,231.000000000000000,2.470004081726074,19.238590240478516,8.141157763344902,219.601684570312500,4843.31904891
115,329,382,382,382.000000000000000,21.177976608276367,21.177976608276367,21.177976608276367,56.680961608886719,54.0422318663
116,331,389,389,389.000000000000000,20.102626800537109,20.102626800537109,20.102626800537109,53.362789154052734,186.275295121
117,332,356,373,365.000000000000000,18.897802352905273,19.764223098754883,19.454454421997070,74.878158569335938,1819.11589271
118,338,596,596,596.000000000000000,26.085542678833008,26.085542678833008,26.085542678833008,127.930740356445312,592.401230185
119,339,342,356,349.000000000000000,39.454860687255859,40.933746337890625,40.194303512573242,317.577194213867188,1540.42962928
120,342,380,419,400.199999999999989,34.654983520507812,40.264751434326172,36.328904724121095,314.579986572265625,2791.02663778
121,343,307,307,307.000000000000000,13.028212547302246,13.028212547302246,13.028212547302246,15.060228347778320,173.996683826
122,344,319,341,328.000000000000000,29.881721496582031,31.491931915283203,30.709202289581299,42.706745147705078,3346.27635262
123,347,277,277,277.000000000000000,7.877303600311279,7.877303600311279,7.877303600311279,171.348663330078125,1143.96024696
124,348,337,362,349.500000000000000,17.653148651123047,36.858989715576172,29.741157054901123,335.325119018554688,2666.97309742
125,351,485,485,485.000000000000000,33.670398712158203,33.670398712158203,33.670398712158203,329.087310791015625,467.247093274
126,353,381,415,395.399999999999977,24.393468856811523,33.084350585937500,29.932748794555664,175.829546928405762,6079.32949193
127,355,297,299,298.000000000000000,5.343396186828613,7.369440555572510,6.356418371200562,349.666763305664062,2096.94153962
128,356,283,500,381.553571428571502,22.762722015380859,45.389606475830078,33.038418020520886,338.342376708984375,40954.9148079
129,357,396,425,410.500000000000000,28.096931457519531,40.780879974365234,34.438905715942383,314.385650634765625,2119.58619554
130,362,396,424,407.000000000000000,22.534242630004883,34.327362060546875,28.579355239868164,340.823425292968750,2461.33355883
