OID,area_m2,length_m,width_m,name
36757,527.5469001,42,16,Roback2017_Gorkha
36758,2441.401304,103,50,Roback2017_Gorkha
36759,3930.796911,264,57,Roback2017_Gorkha
36760,8620.558177,318,100,Roback2017_Gorkha
36761,2815.185434,184,61,Roback2017_Gorkha
36762,624.7745138,66,19,Roback2017_Gorkha
36763,3262.970334,214,32,Roback2017_Gorkha
36764,488.128153,39,16,Roback2017_Gorkha
36765,1182.759841,87,20,Roback2017_Gorkha
36766,1606.041521,190,28,Roback2017_Gorkha
36767,1962.556218,232,32,Roback2017_Gorkha
36768,653.391674,64,17,Roback2017_Gorkha
36769,463.701694,44,13,Roback2017_Gorkha
36770,309.7508756,33,12,Roback2017_Gorkha
36771,8249.726971,171,64,Roback2017_Gorkha
36772,5872.776545,257,50,Roback2017_Gorkha
36773,4159.850897,175,51,Roback2017_Gorkha
36774,2101.541536,191,26,Roback2017_Gorkha
36775,347.9108561,42,12,Roback2017_Gorkha
36776,5361.349865,554,97,Roback2017_Gorkha
36777,463.1817476,83,13,Roback2017_Gorkha
36778,575.8421651,60,13,Roback2017_Gorkha
36779,1794.072202,88,34,Roback2017_Gorkha
36780,270.9271719,52,11,Roback2017_Gorkha
36781,1316.643824,149,29,Roback2017_Gorkha
36782,375.6648554,57,15,Roback2017_Gorkha
36783,1238.005916,105,20,Roback2017_Gorkha
36784,293.6847505,51,9,Roback2017_Gorkha
36785,154.0670891,21,11,Roback2017_Gorkha
36786,424.4607014,66,17,Roback2017_Gorkha
36787,1457.989675,67,30,Roback2017_Gorkha
36788,1468.296863,190,21,Roback2017_Gorkha
36789,489.5289578,59,14,Roback2017_Gorkha
36790,392.329139,46,14,Roback2017_Gorkha
36791,121.3084792,27,7,Roback2017_Gorkha
36792,206.8594337,36,10,Roback2017_Gorkha
36793,241.5215434,27,11,Roback2017_Gorkha
36794,320.9875987,26,17,Roback2017_Gorkha
36795,1199.620642,149,16,Roback2017_Gorkha
36796,648.6095611,77,14,Roback2017_Gorkha
36797,3735.179851,122,69,Roback2017_Gorkha
36798,235.1055347,24,14,Roback2017_Gorkha
36799,2538.976906,86,44,Roback2017_Gorkha
36800,393.4404716,26,21,Roback2017_Gorkha
36801,525.1245941,81,20,Roback2017_Gorkha
36802,1385.753369,152,24,Roback2017_Gorkha
36803,5179.267381,333,35,Roback2017_Gorkha
36804,10306.95787,334,98,Roback2017_Gorkha
36805,3278.802165,159,65,Roback2017_Gorkha
36806,1493.076034,125,21,Roback2017_Gorkha
36807,1649.042455,98,25,Roback2017_Gorkha
36808,964.0541372,90,23,Roback2017_Gorkha
36809,1625.103176,127,40,Roback2017_Gorkha
36810,753.4713259,71,15,Roback2017_Gorkha
36811,888.9209553,86,15,Roback2017_Gorkha
36812,1689.014426,56,47,Roback2017_Gorkha
36813,1202.259918,73,30,Roback2017_Gorkha
36814,6435.066941,329,36,Roback2017_Gorkha
36815,2423.26388,104,33,Roback2017_Gorkha
36816,10802.79627,447,67,Roback2017_Gorkha
36817,1093.337326,107,20,Roback2017_Gorkha
36818,2150.374326,81,45,Roback2017_Gorkha
36819,1752.598092,103,29,Roback2017_Gorkha
36820,412.3453713,40,14,Roback2017_Gorkha
36821,874.0552318,169,24,Roback2017_Gorkha
36822,612.6305993,63,14,Roback2017_Gorkha
36823,729.8559977,77,19,Roback2017_Gorkha
36824,1853.424889,180,25,Roback2017_Gorkha
36825,1378.730103,95,19,Roback2017_Gorkha
36826,1806.608827,206,37,Roback2017_Gorkha
36827,1834.638716,223,30,Roback2017_Gorkha
36828,484.7704049,43,16,Roback2017_Gorkha
36829,1441.795686,130,39,Roback2017_Gorkha
36830,1127.723127,96,20,Roback2017_Gorkha
36831,1950.546276,145,22,Roback2017_Gorkha
36832,1791.286075,101,41,Roback2017_Gorkha
36833,538.5017224,52,15,Roback2017_Gorkha
36834,607.3550179,52,20,Roback2017_Gorkha
36835,6429.076968,313,64,Roback2017_Gorkha
36836,7128.758374,376,79,Roback2017_Gorkha
36837,1080.094942,47,33,Roback2017_Gorkha
36838,796.2975372,77,31,Roback2017_Gorkha
36839,8245.840978,503,64,Roback2017_Gorkha
36840,3082.130523,176,58,Roback2017_Gorkha
36841,1515.878065,180,28,Roback2017_Gorkha
36842,684.2001798,78,15,Roback2017_Gorkha
36843,798.4056251,118,17,Roback2017_Gorkha
36844,630.6205487,67,15,Roback2017_Gorkha
36845,1185.25204,103,19,Roback2017_Gorkha
36846,1522.703757,155,17,Roback2017_Gorkha
36847,460.1910137,59,12,Roback2017_Gorkha
36848,1512.758805,89,23,Roback2017_Gorkha
36849,724.9807274,100,14,Roback2017_Gorkha
36850,1652.941191,111,23,Roback2017_Gorkha
36851,8108.093844,329,48,Roback2017_Gorkha
36852,1703.379804,161,39,Roback2017_Gorkha
36853,1492.329107,86,28,Roback2017_Gorkha
36854,5712.516407,259,58,Roback2017_Gorkha
36855,6839.743152,175,78,Roback2017_Gorkha
36856,2760.285175,175,26,Roback2017_Gorkha
